camera_view,person,session,filename,path,size_mb,sync_group
cam_top,imi,session2,Basler_a2A1920-160ucBAS__40401031__20250219_173307898.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_top/imi/session2/Basler_a2A1920-160ucBAS__40401031__20250219_173307898.mp4,113.83,Basler_a2A1920-160ucBAS__40401031__20250219_173307898
cam_top,imi,session2,Basler_a2A1920-160ucBAS__40401031__20250219_172406792.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_top/imi/session2/Basler_a2A1920-160ucBAS__40401031__20250219_172406792.mp4,109.99,Basler_a2A1920-160ucBAS__40401031__20250219_172406792
cam_top,imi,session2,Basler_a2A1920-160ucBAS__40401031__20250219_173116736.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_top/imi/session2/Basler_a2A1920-160ucBAS__40401031__20250219_173116736.mp4,112.61,Basler_a2A1920-160ucBAS__40401031__20250219_173116736
cam_top,imi,session2,Basler_a2A1920-160ucBAS__40401031__20250219_172913320.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_top/imi/session2/Basler_a2A1920-160ucBAS__40401031__20250219_172913320.mp4,1.5,Basler_a2A1920-160ucBAS__40401031__20250219_172913320
cam_top,imi,session2,Basler_a2A1920-160ucBAS__40401031__20250219_172556465.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_top/imi/session2/Basler_a2A1920-160ucBAS__40401031__20250219_172556465.mp4,112.57,Basler_a2A1920-160ucBAS__40401031__20250219_172556465
cam_top,imi,session2,Basler_a2A1920-160ucBAS__40401031__20250219_172737019.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_top/imi/session2/Basler_a2A1920-160ucBAS__40401031__20250219_172737019.mp4,112.81,Basler_a2A1920-160ucBAS__40401031__20250219_172737019
cam_top,imi,session1,Basler_a2A1920-160ucBAS__40401031__20250219_170326473.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_top/imi/session1/Basler_a2A1920-160ucBAS__40401031__20250219_170326473.mp4,110.65,Basler_a2A1920-160ucBAS__40401031__20250219_170326473
cam_top,imi,session1,Basler_a2A1920-160ucBAS__40401031__20250219_171304742.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_top/imi/session1/Basler_a2A1920-160ucBAS__40401031__20250219_171304742.mp4,112.43,Basler_a2A1920-160ucBAS__40401031__20250219_171304742
cam_top,imi,session1,Basler_a2A1920-160ucBAS__40401031__20250219_170709473.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_top/imi/session1/Basler_a2A1920-160ucBAS__40401031__20250219_170709473.mp4,63.83,Basler_a2A1920-160ucBAS__40401031__20250219_170709473
cam_top,imi,session1,Basler_a2A1920-160ucBAS__40401031__20250219_171707798.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_top/imi/session1/Basler_a2A1920-160ucBAS__40401031__20250219_171707798.mp4,113.21,Basler_a2A1920-160ucBAS__40401031__20250219_171707798
cam_top,imi,session1,Basler_a2A1920-160ucBAS__40401031__20250219_171500244.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_top/imi/session1/Basler_a2A1920-160ucBAS__40401031__20250219_171500244.mp4,114.07,Basler_a2A1920-160ucBAS__40401031__20250219_171500244
cam_top,imi,session1,Basler_a2A1920-160ucBAS__40401031__20250219_171012180.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_top/imi/session1/Basler_a2A1920-160ucBAS__40401031__20250219_171012180.mp4,110.7,Basler_a2A1920-160ucBAS__40401031__20250219_171012180
cam_top,imi,session1,Basler_a2A1920-160ucBAS__40401031__20250219_171904399.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_top/imi/session1/Basler_a2A1920-160ucBAS__40401031__20250219_171904399.mp4,112.09,Basler_a2A1920-160ucBAS__40401031__20250219_171904399
cam_top,imi,session1,Basler_a2A1920-160ucBAS__40401031__20250219_172038801.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_top/imi/session1/Basler_a2A1920-160ucBAS__40401031__20250219_172038801.mp4,115.67,Basler_a2A1920-160ucBAS__40401031__20250219_172038801
cam_top,zolti,session2,Basler_a2A1920-160ucBAS__40401031__20250219_175939237.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_top/zolti/session2/Basler_a2A1920-160ucBAS__40401031__20250219_175939237.mp4,138.88,Basler_a2A1920-160ucBAS__40401031__20250219_175939237
